photo_id,scientificName,photo_url,split
355306623,Vipera renardi,http://inaturalist-open-data.s3.amazonaws.com/photos/355306623/medium.jpeg,train
358315164,Crotalus tzabcan,http://inaturalist-open-data.s3.amazonaws.com/photos/358315164/medium.jpeg,train
355041590,Kinosternon scorpioides,http://inaturalist-open-data.s3.amazonaws.com/photos/355041590/medium.jpeg,val
358105814,Sceloporus merriami,http://inaturalist-open-data.s3.amazonaws.com/photos/358105814/medium.jpeg,train
354488161,Mastigodryas boddaerti,http://inaturalist-open-data.s3.amazonaws.com/photos/354488161/medium.jpeg,test
354673268,Varanus mertensi,http://inaturalist-open-data.s3.amazonaws.com/photos/354673268/medium.jpg,train
355574754,Ctenophorus decresii,http://inaturalist-open-data.s3.amazonaws.com/photos/355574754/medium.jpg,train
358750113,Boiga kraepelini,http://inaturalist-open-data.s3.amazonaws.com/photos/358750113/medium.jpg,train
357230723,Blanus cinereus,http://inaturalist-open-data.s3.amazonaws.com/photos/357230723/medium.jpg,train
356199348,Lycodon ruhstrati,http://inaturalist-open-data.s3.amazonaws.com/photos/356199348/medium.jpg,train
358504670,Lycodon ruhstrati,http://inaturalist-open-data.s3.amazonaws.com/photos/358504670/medium.jpeg,train
356165740,Ctenophorus modestus,http://inaturalist-open-data.s3.amazonaws.com/photos/356165740/medium.jpg,test
357236656,Calotes calotes,http://inaturalist-open-data.s3.amazonaws.com/photos/357236656/medium.jpg,train
355221907,Lycodon capucinus,http://inaturalist-open-data.s3.amazonaws.com/photos/355221907/medium.jpg,train
356912932,Corallus ruschenbergerii,http://inaturalist-open-data.s3.amazonaws.com/photos/356912932/medium.jpg,train
354693183,Silvascincus murrayi,http://inaturalist-open-data.s3.amazonaws.com/photos/354693183/medium.jpeg,train
354144051,Cyclodomorphus gerrardii,http://inaturalist-open-data.s3.amazonaws.com/photos/354144051/medium.jpeg,train
358645272,Micrurus fulvius,http://inaturalist-open-data.s3.amazonaws.com/photos/358645272/medium.jpeg,train
356896871,Thamnophis atratus,http://inaturalist-open-data.s3.amazonaws.com/photos/356896871/medium.jpg,train
356277323,Cnemidophorus gaigei,http://inaturalist-open-data.s3.amazonaws.com/photos/356277323/medium.jpeg,train
356194908,Chamaeleo zeylanicus,http://inaturalist-open-data.s3.amazonaws.com/photos/356194908/medium.jpeg,train
354388933,Anolis auratus,http://inaturalist-open-data.s3.amazonaws.com/photos/354388933/medium.jpeg,train
356994621,Liodytes alleni,http://inaturalist-open-data.s3.amazonaws.com/photos/356994621/medium.jpeg,test
359014832,Oplurus cuvieri,http://inaturalist-open-data.s3.amazonaws.com/photos/359014832/medium.jpg,train
